userName,score,at,content
Rasyidah Idah,1,2024-09-29 09:52:09,Sekarang susah dapat kode SMS
syahrul khoir,2,2024-09-29 09:50:34,Sangat susah untuk daftar
Aris Aljawari,4,2024-09-29 09:50:17,Bagus
Anik aja,1,2024-09-29 09:50:01,"Tidak tahu penyebab nya tiba-tiba diblokir, padahal saya hanya mendaftar saja. Tidak digunakan atau disalah gunakan, masa cuma daftar telegram pelanggaran tidak jelas"
Pengguna Google,2,2024-09-29 09:42:08,code sms susah amat blum dikirim
Fajri Chaeruman,1,2024-09-29 09:24:38,Register untuk yg bener aja syulit ! Giliran untuk tuyul tidak syulit ! Dasar syilit..
FADRIAL,1,2024-09-29 09:23:36,"Ini ngebug apa kenapa si, udh ganti nomer baru tetep aja gadikirik kirim kode otp nya, kesalahan sistem? Apa sistem rusak ga di benerin? Jadi emosi. Tolong dong developer update lagi, ini gmana mau login kalo kode nya ga dikirim SMS, kalo gada pulsa beli dulu deh sana biar bisa kirim otp"
Sifa Asyfah,1,2024-09-29 09:22:22,"WOEYY APK APA INII HIKS, TANGGUNG JAWAB GA🫵🏻🫵🏻 udah ga bisa login lagi padahal nomer udah benar dan ga muncul kode verifikasi nya di sms maupun email. 1000 kali nyoba pun pasti tetap gagal ga bisa masuk, padahal dulu jika dihapus terus download lagi pun login nya gampang tapi sekarang susah bgt kayak nunggu antrian bansos apalagi verivikasi nya tidak bisa. TELE TOLONG DIPERBAIKI YA AKU MAU LIHAT DRAMA LAGI☺️☺️☺️☺️"
Alfa lestari,2,2024-09-29 09:21:21,GK bisa masuk
Nabila Rahma,1,2024-09-29 09:13:46,Susah login
Nirvana Grunge,1,2024-09-29 09:09:29,Tolong dibantu untuk kirim kode verifikasi..mau pake cara apapun juga ga bisa.. lewat email juga berkali2 email ga dibls2..
Yu Li,1,2024-09-29 09:08:13,Kode Verifikasi kgk di kirim kirim Udah bela-belain ganti nomer tetep gak ada SMS kode Verifikasi Gimana mau daftar
Kontol Gede,1,2024-09-29 08:57:21,Tolong lah unban akun tele gw
Alesha Rahma,1,2024-09-29 08:55:03,"gak bisa login, gak muncul kode udah nunggu lama!"
Sie Jhou,1,2024-09-29 08:54:55,Nunggu code verifikasi buat log in lama bangettt astaga Tolong perbaiki lahh...
Dewik Fathir,1,2024-09-29 08:51:44,SANGAT BURUK TDK BISA LOGIN KODE VERIFIKASI TDK MUNCUL. KLAU SEKIRANYA APLIKASINYA BURUK DI UPGRADE YG LBH BAGUS INI MAH BAGUSAN VERSI LAMA VERSI BARU INI KAYAK T*I
Popo Nanmo,2,2024-09-29 08:43:39,Tolong perbaiki masalah log out sendiri
Juniarti Solehah,1,2024-09-29 08:42:32,"Kodenya gak muncul"" t*i."
Rafif Alamsyah,1,2024-09-29 08:42:20,Gabisa login akun nomor sebelumnya
Vexelin,1,2024-09-29 08:39:49,BERIKAN KODE VERIFIKASI SAYA !!
Hariyanto Yanto,2,2024-09-29 08:39:32,Mencari persahabatan.
raisya agustina,4,2024-09-29 08:29:12,tele boros kuota nyaa 😞😞
Ikhsan Lutfi,1,2024-09-29 08:25:33,Tidak bisa menerima kode otp dan saran kebanyakan tidak membantu
Aisya Azzahra,1,2024-09-29 08:18:53,"Untuk admin TELEGRAM, tolonglah, bikin orang kesel aja, udah saya kasih nomer saya gak bisa-bisa, nih bikin kesel aja, untuk admin TELEGRAM agar memperbaiki kerusakan ini, Terima kasih"
Rizki Prayogo Hartman,1,2024-09-29 08:13:00,Minta kode otp berkali kali kaga di kasih
Tian Adelika,1,2024-09-29 07:53:41,Kembalikan verifikasi dengan email
Panglima Hitam,1,2024-09-29 07:39:53,"Aplikasi tolol, gak bisa login"
Rosa Dahlan,1,2024-09-29 07:39:25,Kode verifikasi susah muncul
Au ah Gelap,1,2024-09-29 07:37:32,Minimal cepet lah kirim kode Verifikasi nya susah bener baru juga login udah dibikin susah
Ramadhan Ikram,1,2024-09-29 07:25:48,"Kenapa si kok GK bisa daftar telegram tapi aku sdh masukin nomornya Kok GK bisa masukin ny KK coba KK benerin dan cek baik baik dan periksa dulu tapi aku ini GK bisa telegram X pun GK bisa bagaimana KK, KKK benerin ny baik baik y KK"
AYU MIRANDA,1,2024-09-29 07:06:00,Ads sangat mahal
Yanto Nugraha,1,2024-09-29 07:05:42,Kode SMS nya ga di kirim2
Louis glen Laurenel,1,2024-09-29 07:01:15,Mau daftarkan nmr telp tapi nggak muncul kode verifikasi. Sudah di refresh berkali-kali tapi hasilnya tetap sama
my My,2,2024-09-29 07:00:57,Tiba tiba akun je blokir
santika wijayaa,1,2024-09-29 06:56:47,Woy ini gimana telegram gabisa login Gaada muncul kode verifikasi Data saya di telegram semuaa Tolong diperbaikkkkkiiii
FF Gaming,1,2024-09-29 06:48:16,kode gamasuk²
Andi Wahyudi I.,5,2024-09-29 06:47:45,Great
muhammad aldiatma,1,2024-09-29 06:45:32,Kok susah banget yah loginnya pdhl udah di ksi nomer yg benar tapi kok GK jdi Trus 1 lgi kode verifikasinya di krim lewat mna kok gak masuk-masuk??
Laca Fuj99,4,2024-09-29 06:45:22,bagus banget apk nya sih ya! tapi dibuat lebih bagus lagii ya karena masih ada yang kurang
Ign Id,1,2024-09-29 06:42:42,"Emang aneh setelah update mau ganti nomor baru tapi ga dapat kode verifikasi,minta bantuan ke pihak telegram juga gak ada respon"
Ken Soe,1,2024-09-29 06:40:53,"Susah sekali untuk masuk, kode verifikasi tak ada muncul apapun."
Ragna Iya,1,2024-09-29 06:39:02,Apk jelek rusak kode verifikasi ga ke kirim kirim bkin org kesel aja
HUKUM'RIMBA,1,2024-09-29 06:32:37,Susah login
Hari Yanto,1,2024-09-29 06:27:42,"susah masuk bangke, pantes CEO nya di tangkap🤣"
Nom Nom,5,2024-09-29 06:20:44,Ok
Sipa Nafsiah,1,2024-09-29 06:18:29,"kek tlol udh dimasukin no nunggu SMS hampir sejam ttp gabisa pdhl udh diulangi berkali kali, semoga cepat diperbaiki"
